Country Name,Country Code,Indicator Name,Indicator Code,2019
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,19291104008
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,88815697793
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,15279183290
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,3154057987
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,2.81741E+12
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,4.21142E+11
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,4.45445E+11
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,13672802158
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1661962963
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1.39657E+12
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,4.45075E+11
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,48047647059
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,3012334882
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,5.33097E+11
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,14390709095
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,15990803570
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,3.02571E+11
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,68558815112
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,38574069149
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,13578800000
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,20164193807
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,63080457023
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,1879613600
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,7484113000
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,40895322844
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,1.83976E+12
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,5209000000
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,13469422959
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,2530547158
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,18340480936
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,2220307369
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1.73643E+12
Central Europe and the Baltics,CEB,GDP (current US$),NY.GDP.MKTP.CD,1.66885E+12
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,7.03082E+11
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,2.82318E+11
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,1.42799E+13
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,58539424930
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,39007354359
"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,50400746171
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,12267392147
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,3.23616E+11
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,1165839927
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,1981845740
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,61801385049
Caribbean small states,CSS,GDP (current US$),NY.GDP.MKTP.CD,77721714918
Cuba,CUB,GDP (current US$),NY.GDP.MKTP.CD,
Curacao,CUW,GDP (current US$),NY.GDP.MKTP.CD,3101787709
Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,
Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,24948935408
Czech Republic,CZE,GDP (current US$),NY.GDP.MKTP.CD,2.50681E+11
